order_id,created_at,sku_name,quantity,asp_inr,cogs_inr,gross_revenue_inr,discount_inr,net_revenue_inr,city,payment_method,courier,is_returned,order_status,financial_status
ORD10035,2026-02-06T17:16:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Delhi,COD,Shadowfax,True,returned,refunded
ORD10036,2026-02-06T08:33:00+05:30,Collagen Gummies 30pc,1,699,85,699,69.9,629.1,Delhi,COD,DTDC,False,delivered,paid
ORD10037,2026-02-06T13:42:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Chennai,COD,BlueDart,False,delivered,paid
ORD10038,2026-02-06T14:43:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Delhi,Prepaid,DTDC,False,delivered,paid
ORD10039,2026-02-06T17:38:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Hyderabad,Prepaid,Ecom Express,True,returned,refunded
ORD10040,2026-02-07T09:52:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10041,2026-02-07T22:40:00+05:30,Multivitamin Women 30pc,2,549,70,1098,0,1098,Delhi,COD,BlueDart,False,delivered,paid
ORD10042,2026-02-07T20:56:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Delhi,COD,Ecom Express,False,delivered,paid
ORD10043,2026-02-07T16:35:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10044,2026-02-07T15:57:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Ahmedabad,Prepaid,Shadowfax,False,delivered,paid
ORD10045,2026-02-07T19:18:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10046,2026-02-07T09:26:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Ahmedabad,COD,Delhivery,False,delivered,paid
ORD10047,2026-02-07T17:24:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10048,2026-02-07T16:51:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Delhi,Prepaid,Ecom Express,False,delivered,paid
ORD10049,2026-02-07T22:08:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10050,2026-02-07T10:03:00+05:30,Multivitamin Women 30pc,1,549,70,549,54.9,494.1,Ahmedabad,Prepaid,Shadowfax,True,returned,refunded
ORD10051,2026-02-07T19:34:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Bengaluru,Prepaid,DTDC,False,delivered,paid
ORD10052,2026-02-07T11:53:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Delhi,Prepaid,Delhivery,False,delivered,paid
ORD10053,2026-02-07T19:45:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,Prepaid,Delhivery,False,delivered,paid
ORD10054,2026-02-07T14:25:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Lucknow,Prepaid,Delhivery,False,delivered,paid
ORD10055,2026-02-07T20:02:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Hyderabad,COD,BlueDart,False,delivered,paid
ORD10056,2026-02-07T14:23:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Delhi,Prepaid,Shadowfax,True,returned,refunded
ORD10057,2026-02-07T15:27:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Chennai,COD,Ecom Express,False,delivered,paid
ORD10058,2026-02-07T17:39:00+05:30,Biotin Hair Gummies,2,599,75,1198,119.8,1078.2,Delhi,Prepaid,BlueDart,False,delivered,paid
ORD10059,2026-02-07T12:35:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Bengaluru,COD,DTDC,False,delivered,paid
ORD10060,2026-02-07T15:28:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10061,2026-02-07T13:22:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Delhi,COD,BlueDart,False,delivered,paid
ORD10062,2026-02-07T19:11:00+05:30,Biotin Hair Gummies,2,599,75,1198,0,1198,Delhi,Prepaid,Delhivery,False,delivered,paid
ORD10063,2026-02-07T12:00:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Delhi,Prepaid,Shadowfax,True,returned,refunded
ORD10064,2026-02-07T15:06:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Mumbai,Prepaid,Delhivery,False,delivered,paid
ORD10065,2026-02-07T09:36:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,79.9,719.1,Bengaluru,COD,Ecom Express,False,delivered,paid
ORD10066,2026-02-07T14:38:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Mumbai,Prepaid,Shadowfax,True,returned,refunded
ORD10067,2026-02-07T17:47:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Pune,COD,Ecom Express,False,delivered,paid
ORD10068,2026-02-07T14:28:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Hyderabad,Prepaid,DTDC,False,delivered,paid
ORD10069,2026-02-07T18:37:00+05:30,Biotin Hair Gummies,3,599,75,1797,0,1797,Mumbai,Prepaid,DTDC,False,delivered,paid
ORD10070,2026-02-07T10:50:00+05:30,Ashwagandha 60pc,1,499,65,499,24.95,474.05,Bengaluru,COD,Shadowfax,False,delivered,paid
ORD10071,2026-02-07T15:05:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Hyderabad,COD,DTDC,False,delivered,paid
ORD10072,2026-02-07T17:37:00+05:30,Ashwagandha 60pc,3,499,65,1497,0,1497,Pune,COD,Shadowfax,True,returned,refunded
ORD10073,2026-02-07T17:27:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Chennai,Prepaid,DTDC,False,delivered,paid
ORD10074,2026-02-07T19:31:00+05:30,Ashwagandha 60pc,1,499,65,499,49.9,449.1,Mumbai,COD,DTDC,False,delivered,paid
ORD10075,2026-02-07T21:00:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Kolkata,COD,Shadowfax,True,returned,refunded
ORD10076,2026-02-07T08:13:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10077,2026-02-08T08:35:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Bengaluru,Prepaid,Delhivery,False,delivered,paid
ORD10078,2026-02-08T12:26:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Kolkata,COD,Delhivery,False,delivered,paid
ORD10079,2026-02-08T10:55:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Delhi,COD,Shadowfax,False,delivered,paid
ORD10080,2026-02-08T18:31:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Kolkata,Prepaid,DTDC,False,delivered,paid
ORD10081,2026-02-08T11:44:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Bengaluru,Prepaid,DTDC,False,delivered,paid
ORD10082,2026-02-08T21:41:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Kolkata,COD,Ecom Express,False,delivered,paid
ORD10083,2026-02-08T09:33:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Mumbai,Prepaid,Shadowfax,False,delivered,paid
ORD10084,2026-02-08T21:43:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,79.9,719.1,Mumbai,COD,BlueDart,False,delivered,paid
ORD10085,2026-02-08T22:18:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Delhi,Prepaid,Ecom Express,True,returned,refunded
ORD10086,2026-02-08T20:03:00+05:30,Multivitamin Women 30pc,1,549,70,549,54.9,494.1,Bengaluru,Prepaid,Delhivery,False,delivered,paid
ORD10087,2026-02-08T21:24:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10088,2026-02-08T12:43:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Jaipur,COD,BlueDart,False,delivered,paid
ORD10089,2026-02-08T12:12:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Lucknow,COD,Shadowfax,False,delivered,paid
ORD10090,2026-02-08T12:00:00+05:30,Multivitamin Women 30pc,3,549,70,1647,0,1647,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10091,2026-02-08T20:51:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Pune,Prepaid,Delhivery,False,delivered,paid
ORD10092,2026-02-08T22:40:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Mumbai,Prepaid,BlueDart,False,delivered,paid
ORD10093,2026-02-08T14:11:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Bengaluru,COD,Shadowfax,False,delivered,paid
ORD10094,2026-02-08T20:18:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Ahmedabad,Prepaid,DTDC,False,delivered,paid
ORD10095,2026-02-08T14:54:00+05:30,Biotin Hair Gummies,2,599,75,1198,0,1198,Mumbai,COD,Delhivery,False,delivered,paid
ORD10096,2026-02-08T18:23:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Pune,COD,Delhivery,False,delivered,paid
ORD10097,2026-02-08T15:58:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10098,2026-02-08T13:42:00+05:30,Biotin Hair Gummies,2,599,75,1198,119.8,1078.2,Mumbai,Prepaid,Delhivery,False,delivered,paid
ORD10099,2026-02-08T17:26:00+05:30,Multivitamin Women 30pc,1,549,70,549,54.9,494.1,Bengaluru,Prepaid,Shadowfax,False,delivered,paid
ORD10100,2026-02-08T18:22:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Chennai,COD,BlueDart,False,delivered,paid
ORD10101,2026-02-08T08:50:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Lucknow,COD,Ecom Express,False,delivered,paid
ORD10102,2026-02-08T10:50:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Pune,COD,BlueDart,False,delivered,paid
ORD10103,2026-02-08T10:00:00+05:30,Omega-3 Fish Oil 60pc,2,799,90,1598,79.9,1518.1,Kolkata,Prepaid,BlueDart,False,delivered,paid
ORD10104,2026-02-08T20:23:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Hyderabad,COD,Delhivery,False,delivered,paid
ORD10105,2026-02-08T15:41:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Bengaluru,COD,Shadowfax,False,delivered,paid
ORD10106,2026-02-08T10:04:00+05:30,Multivitamin Women 30pc,2,549,70,1098,0,1098,Bengaluru,COD,Ecom Express,False,delivered,paid
ORD10107,2026-02-08T14:06:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Hyderabad,COD,DTDC,False,delivered,paid
ORD10108,2026-02-08T14:46:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Chennai,Prepaid,Shadowfax,False,delivered,paid
ORD10109,2026-02-08T09:27:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Chennai,Prepaid,DTDC,False,delivered,paid
ORD10110,2026-02-08T20:27:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Kolkata,COD,Shadowfax,False,delivered,paid
ORD10111,2026-02-08T11:54:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,79.9,719.1,Lucknow,COD,Shadowfax,True,returned,refunded
ORD10112,2026-02-08T18:35:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Delhi,Prepaid,DTDC,False,delivered,paid
ORD10113,2026-02-08T13:00:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Kolkata,COD,DTDC,False,delivered,paid
ORD10114,2026-02-08T13:10:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Chennai,COD,Delhivery,False,delivered,paid
ORD10115,2026-02-08T08:43:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Pune,Prepaid,Shadowfax,False,delivered,paid
ORD10116,2026-02-09T18:37:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10117,2026-02-09T12:20:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10118,2026-02-09T20:22:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Bengaluru,COD,BlueDart,False,delivered,paid
ORD10119,2026-02-09T12:07:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,COD,Delhivery,False,delivered,paid
ORD10120,2026-02-09T09:15:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10121,2026-02-09T11:57:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Mumbai,Prepaid,DTDC,False,delivered,paid
ORD10122,2026-02-09T20:48:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Lucknow,COD,BlueDart,False,delivered,paid
ORD10123,2026-02-09T17:20:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Pune,COD,Ecom Express,False,delivered,paid
ORD10124,2026-02-09T13:32:00+05:30,Omega-3 Fish Oil 60pc,2,799,90,1598,0,1598,Mumbai,COD,Delhivery,False,delivered,paid
ORD10125,2026-02-09T15:37:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,Prepaid,DTDC,False,delivered,paid
ORD10126,2026-02-09T16:09:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Ahmedabad,Prepaid,Ecom Express,False,delivered,paid
ORD10127,2026-02-09T16:33:00+05:30,Multivitamin Women 30pc,2,549,70,1098,0,1098,Kolkata,Prepaid,DTDC,True,returned,refunded
ORD10128,2026-02-09T18:21:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Jaipur,COD,Ecom Express,False,delivered,paid
ORD10129,2026-02-09T10:58:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Chennai,COD,DTDC,False,delivered,paid
ORD10130,2026-02-09T18:50:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Chennai,COD,Ecom Express,False,delivered,paid
ORD10131,2026-02-09T13:49:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Chennai,COD,Shadowfax,True,returned,refunded
ORD10132,2026-02-09T19:56:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Mumbai,COD,Delhivery,False,delivered,paid
ORD10133,2026-02-09T10:46:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Ahmedabad,COD,Shadowfax,False,delivered,paid
ORD10134,2026-02-09T11:34:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Chennai,Prepaid,BlueDart,False,delivered,paid
ORD10135,2026-02-09T16:26:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Pune,COD,BlueDart,False,delivered,paid
ORD10136,2026-02-09T22:06:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Kolkata,Prepaid,BlueDart,False,delivered,paid
ORD10137,2026-02-09T11:52:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Mumbai,Prepaid,Delhivery,False,delivered,paid
ORD10138,2026-02-09T08:20:00+05:30,Vitamin C Serum 30ml,1,899,120,899,44.95,854.05,Mumbai,COD,Delhivery,False,delivered,paid
ORD10139,2026-02-09T15:39:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Hyderabad,COD,BlueDart,False,delivered,paid
ORD10140,2026-02-09T11:19:00+05:30,Collagen Gummies 30pc,1,699,85,699,69.9,629.1,Delhi,Prepaid,BlueDart,False,delivered,paid
ORD10141,2026-02-09T11:45:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Hyderabad,COD,Shadowfax,False,delivered,paid
ORD10142,2026-02-09T13:04:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Hyderabad,Prepaid,BlueDart,False,delivered,paid
ORD10143,2026-02-09T08:22:00+05:30,Multivitamin Women 30pc,3,549,70,1647,0,1647,Pune,Prepaid,Shadowfax,False,delivered,paid
ORD10144,2026-02-09T13:52:00+05:30,Biotin Hair Gummies,1,599,75,599,89.85,509.15,Pune,Prepaid,Delhivery,False,delivered,paid
ORD10145,2026-02-09T08:50:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Chennai,Prepaid,Ecom Express,False,delivered,paid
ORD10146,2026-02-09T11:18:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Jaipur,COD,Shadowfax,False,delivered,paid
ORD10147,2026-02-09T13:11:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Ahmedabad,COD,DTDC,False,delivered,paid
ORD10148,2026-02-09T21:11:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Jaipur,COD,Shadowfax,True,returned,refunded
ORD10149,2026-02-09T17:27:00+05:30,Ashwagandha 60pc,1,499,65,499,49.9,449.1,Mumbai,COD,DTDC,False,delivered,paid
ORD10150,2026-02-09T10:01:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Lucknow,Prepaid,Delhivery,False,delivered,paid
ORD10151,2026-02-10T13:23:00+05:30,Biotin Hair Gummies,1,599,75,599,59.9,539.1,Mumbai,COD,DTDC,False,delivered,paid
ORD10152,2026-02-10T14:58:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Mumbai,COD,DTDC,False,delivered,paid
ORD10153,2026-02-10T11:07:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Delhi,COD,Ecom Express,False,delivered,paid
ORD10154,2026-02-10T16:34:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10155,2026-02-10T11:50:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Mumbai,Prepaid,BlueDart,False,delivered,paid
ORD10156,2026-02-10T19:30:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Hyderabad,Prepaid,Ecom Express,False,delivered,paid
ORD10157,2026-02-10T16:22:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Kolkata,COD,Delhivery,False,delivered,paid
ORD10158,2026-02-10T12:10:00+05:30,Collagen Gummies 30pc,1,699,85,699,34.95,664.05,Hyderabad,COD,Shadowfax,False,delivered,paid
ORD10159,2026-02-10T16:17:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Delhi,Prepaid,Shadowfax,False,delivered,paid
ORD10160,2026-02-10T13:53:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Bengaluru,Prepaid,Shadowfax,False,delivered,paid
ORD10161,2026-02-10T20:36:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Ahmedabad,COD,Delhivery,False,delivered,paid
ORD10162,2026-02-10T09:44:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Bengaluru,COD,Shadowfax,False,delivered,paid
ORD10163,2026-02-10T21:22:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Bengaluru,COD,BlueDart,False,delivered,paid
ORD10164,2026-02-10T21:39:00+05:30,Multivitamin Women 30pc,1,549,70,549,54.9,494.1,Delhi,COD,Shadowfax,False,delivered,paid
ORD10165,2026-02-10T15:31:00+05:30,Vitamin C Serum 30ml,1,899,120,899,134.85,764.15,Ahmedabad,Prepaid,DTDC,False,delivered,paid
ORD10166,2026-02-10T22:53:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10167,2026-02-10T13:02:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Bengaluru,COD,Delhivery,False,delivered,paid
ORD10168,2026-02-10T17:07:00+05:30,Vitamin C Serum 30ml,2,899,120,1798,0,1798,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10169,2026-02-10T14:32:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Delhi,Prepaid,DTDC,False,delivered,paid
ORD10170,2026-02-10T14:39:00+05:30,Collagen Gummies 30pc,3,699,85,2097,0,2097,Chennai,Prepaid,Ecom Express,False,delivered,paid
ORD10171,2026-02-10T13:21:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Delhi,Prepaid,Shadowfax,False,delivered,paid
ORD10172,2026-02-10T17:30:00+05:30,Ashwagandha 60pc,1,499,65,499,24.95,474.05,Hyderabad,Prepaid,Delhivery,False,delivered,paid
ORD10173,2026-02-10T09:12:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Hyderabad,COD,Ecom Express,False,delivered,paid
ORD10174,2026-02-10T16:13:00+05:30,Collagen Gummies 30pc,2,699,85,1398,69.9,1328.1,Mumbai,COD,BlueDart,False,delivered,paid
ORD10175,2026-02-10T13:43:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Bengaluru,COD,Ecom Express,False,delivered,paid
ORD10176,2026-02-10T12:49:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Hyderabad,Prepaid,DTDC,False,delivered,paid
ORD10177,2026-02-10T12:07:00+05:30,Collagen Gummies 30pc,3,699,85,2097,0,2097,Chennai,COD,DTDC,False,delivered,paid
ORD10178,2026-02-10T13:59:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Ahmedabad,Prepaid,Ecom Express,False,delivered,paid
ORD10179,2026-02-10T09:39:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10180,2026-02-10T10:00:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Mumbai,COD,Shadowfax,False,delivered,paid
ORD10181,2026-02-10T18:03:00+05:30,Multivitamin Women 30pc,3,549,70,1647,0,1647,Mumbai,COD,Ecom Express,False,delivered,paid
ORD10182,2026-02-10T22:58:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Hyderabad,Prepaid,Shadowfax,False,delivered,paid
ORD10183,2026-02-10T08:19:00+05:30,Collagen Gummies 30pc,3,699,85,2097,0,2097,Pune,Prepaid,BlueDart,False,delivered,paid
ORD10184,2026-02-10T12:12:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Chandigarh,COD,DTDC,False,delivered,paid
